Subject,Best_Vacc
0,0.9333333333333333
1,1.0
2,0.8666666666666667
3,0.9555555555555556
4,0.9777777777777777
5,1.0
6,0.9777777777777777
7,0.9777777777777777
8,0.9555555555555556
9,0.9333333333333333
10,1.0
11,0.9333333333333333
12,1.0
13,0.9777777777777777
14,0.9777777777777777
